"bernie, aunt, uncle, real, stuart, welfare, cuban, invent, mentor, product, commercial, pose, estate, co, worker, deal, mace, grandma, money, dream"
"henry, baker, negative, strangely, reaction, furious, terminal, retired, speed, note, brain, eliminate, thug, dealer, health, neighborhood, inspector, effect, half, beat"
"script, china, dictate, bloodshed, mortal, fight, ethnic, particularly, endless, trigger, technique, numerous, appearance, combat, historical, detail, curse, legendary, chinese, martial"
"vijay, pocket, police, pick, gangster, captive, mere, accepts, merely, theft, sweetheart, petty, secure, abduct, element, hat, trick, undercover, nor, southern"
"luke, break, harvey, miami, culminate, confess, unlikely, compete, wind, trio, accidentally, discovery, quest, bar, crazy, fire, kidnap, throw, rule, adventure"
"ranjit, election, inspector, babu, prasad, khanna, swing, sorrow, death, involvement, cunning, superior, ravi, kill, influential, establish, prevent, avenge, singh, corrupt"
"defy, fate, star, destiny, meet, love, school, plan, supreme, brother, change, marcus, proposal, rivalry, girl, rip, enable, forth, mob, bitter"
"michael, christopher, marina, jimmy, free, instructor, brings, owe, insist, syndicate, tournament, fighter, defeat, underground, martial, gangster, agree, kidnap, develop, self"
"ki, hee, cop, hitman, taxi, store, run, lover, live, day, time, mistaken, bum, happily, mistress, unfortunate, dawn, dirty, shift, fund"
"jacob, resentment, preacher, divine, hostile, loving, comfort, hometown, dealer, torture, risk, peace, term, violent, beat, arm, confront, short, attack, ex"
"divya, police, expose, powerful, challenge, girlfriend, sri, organ, inept, perpetrator, division, tactic, nasty, commissioner, sensitive, vijay, dig, worth, corruption, trade"
"oasis, chaos, create, ally, belong, creature, resident, threat, completely, water, perfect, race, adventure, protect, spirit, village, journey, discover, brother, fight"
"agent, headquarters, breast, heroin, grade, jane, identify, flood, scar, jim, photograph, clue, market, underworld, bit, low, king, fellow, identity, camera"
"ninja, roger, charles, ronald, village, evil, victor, jimmy, warrior, leader, steal, black, power, extract, confident, feud, eldest, bunch, split, clan"
"corp, temptation, america, desire, society, believe, create, unemployment, rally, adulthood, breed, force, economy, strict, strip, communist, simply, market, crash, humanity"
"sharda, abduct, sibling, gangster, age, rupee, suitable, milk, approve, employment, aspiration, molest, groom, look, diary, severely, thereafter, villager, bombay, arrange"
"money, enormous, robber, brand, victory, pride, failure, belief, constant, notorious, fuel, responsible, earn, risk, consequence, gangster, consider, allow, draw, lot"
"avinash, sunil, grandson, police, trouble, khurana, coming, bail, disappears, verma, wrestle, unstable, revelation, compel, file, mentally, arrange, day, warn, report"
"contain, team, casualty, reduce, gear, industrial, city, assistance, setting, rely, visual, access, civil, progress, chaos, gain, guide, weapon, enter, enemy"
"tien, hermit, blade, steel, mighty, sword, superstar, infiltrate, boxer, nasty, seize, cunning, clan, eliminate, trio, particular, legendary, aim, scheme, studio"
"kailash, ajay, advocate, guilty, charge, carry, arrest, laxmi, nath, vendetta, wreck, verma, havoc, molest, wrath, prominent, kill, possibly, renowned, vengeance"
"space, ship, factory, buy, game, galaxy, trading, frontier, fleet, credit, alien, option, friendly, combine, elite, gold, tension, environment, earn, station"
"magic, college, powerful, student, secret, blessing, inter, boring, mighty, initiate, blast, strict, lesson, bomb, curse, transform, pain, skill, master, club"
"force, challenge, win, masterpiece, nina, fight, eva, perpetrator, spin, culminate, somewhat, colorful, companion, cult, gradually, nick, confrontation, fortune, blind, ordinary"
"politician, activity, franchise, strengthen, fearless, wed, broad, remains, happily, sabotage, khan, goon, promote, transfer, upcoming, villain, rape, election, cinema, romance"
"weather, canada, land, five, hand, illuminate, cloud, grows, fascination, temper, chaotic, climate, pig, expand, antic, importantly, iron, topic, severe, vast"
"cartel, narcotic, victor, blow, bomb, undercover, mexican, kidnap, witness, cover, rule, partner, officer, hour, family, unthinkable, practical, dictate, kill, dirty"
"costello, wendy, miami, pocket, name, senator, petty, refuge, french, thief, jack, speak, image, private, detective, confront, shoot, steal, black, watch"
"mason, cult, stop, tow, cyber, offensive, shadowy, dean, anderson, reluctantly, rogue, bottom, capable, eve, card, nuclear, recruit, machine, disaster, reporter"
"punk, form, wannabe, fight, clothing, honesty, fancy, rat, subsequent, leadership, tribe, secure, usually, people, loyalty, honor, depict, territory, warrior, mix"
"ramesh, bandit, kumar, singh, inspector, arrest, village, police, gear, humiliation, prompt, thakur, hearted, kill, unleash, swear, abduct, orphan, recruit, sing"
"kumar, priya, gandhi, arun, dreaded, beaten, run, bay, knife, begin, vijay, deny, taxi, initially, blame, wedding, romance, twist, occur, speak"
"beyond, afghan, travel, afghanistan, extreme, taliban, dangerous, search, series, scorpion, bloodshed, backyard, bradley, package, idol, wrestle, snow, audition, raw, tourist"
"principle, cat, real, secret, miraculously, apply, thirteen, scenario, lieutenant, transfer, rebel, dedicate, belief, depict, legendary, third, peace, achieve, danger, expose"
"daniel, gang, lisa, villain, jennifer, harris, wilson, thug, jack, beat, outback, patron, shane, ransom, pleasure, proceed, unknowingly, realise, escalate, home"
"murder, cartel, deceit, closer, wing, people, tony, try, multiple, worth, mix, straight, web, link, friend, lock, world, isn, risk, easy"
"journalist, soldier, bunker, kindness, height, afghanistan, aspire, lifetime, brave, unit, humanity, separate, terror, surround, surprise, trap, band, uncover, opportunity, enemy"
"pirate, sunny, brother, eventual, wealthy, path, ransom, intention, adopt, lose, separate, kidnap, successful, cross, appear, blood, gang, boy, separation, worse"
"christmas, shooter, choose, game, base, dictate, outcome, amidst, upcoming, similar, weapon, location, modern, person, control, battle, evil, team, character, own"
"vikram, kill, doctor, killer, marry, bad, nath, saxena, philip, police, yes, surgery, motive, orphanage, false, deny, thereafter, policeman, inform, shortly"
"broken, cain, jasmine, bike, pas, biker, plenty, gritty, florida, motorcycle, sweet, day, beach, jack, adult, lady, crazy, hot, crew, capture"
"rakesh, witness, kill, charge, destroy, person, industrialist, return, testify, name, home, deny, convict, odds, assume, vow, family, avenge, none, sentence"
"peace, bring, marry, brother, promise, community, enrage, hatred, kill, example, propose, bitter, twin, sacrifice, exist, condition, carry, accept, attack, question"
"galaxy, game, seed, management, raw, tool, collection, corporation, alien, resource, fit, material, drop, transform, world, guide, survival, goal, quest, player"
"ali, immigration, departure, specialist, afghanistan, unemployed, collect, sign, illegal, youth, manage, road, month, spend, life, money, fall, look, decide, day"
"visa, tourist, canada, attack, illegally, hooker, reside, entry, dive, african, lord, film, resident, world, illegal, gangster, beyond, single, month, dangerous"
"vicky, club, delhi, sameer, fight, anna, score, lord, karan, brother, entangle, crossroad, friend, gang, kill, atmosphere, bombay, student, settle, fun"
"ferrari, crash, feature, ace, extensive, auto, eddie, exotic, collection, roll, sequence, drag, accidentally, thriller, illegal, driver, race, actually, produce, destroy"
"scott, city, boyfriend, frightening, priority, advertising, feud, vigilante, plunge, descend, secretary, navigate, elite, firm, except, double, legendary, ordinary, chaos, organization"
"sister, college, status, student, medical, marry, dictate, rowdy, shoulder, soft, equal, dean, raj, arrogant, rage, fit, pressure, cold, professor, ready"
"brother, gangster, bos, gang, hold, sleazy, council, basically, smash, local, admire, muscle, extend, react, yakuza, tag, respected, boss, equal, grade"
"craig, grant, jon, owe, sam, money, initiate, pocket, mafia, hall, enlist, spiral, rob, dealer, survival, race, south, alive, quickly, bos"
"marco, er, matter, commissioner, motion, criminal, vince, impulsive, police, footstep, square, outskirt, vice, unprecedented, lifelong, father, roman, rome, alongside, identify"
"angel, half, demon, war, immortality, untold, mortal, unlike, mix, live, none, willing, price, existence, expect, forever, soldier, thousand, generation, earth"
"partner, hostage, female, trouble, situation, enthusiastic, mall, charlotte, supermarket, pas, navy, harris, commander, seal, provoke, hurt, explosive, retire, stone, confrontation"
"rachel, jewelry, kong, hong, tokyo, serious, inspector, gun, determine, reason, officer, personal, hand, casualty, learn, cameron, chung, escort, vendetta, determined"
"plane, fateful, schedule, passenger, flight, nigerian, stricken, friday, technical, leap, error, traveler, rapidly, scenario, cruise, flashback, brink, elderly, corporate, unravel"
"batman, bruce, ability, wayne, terry, gallery, persona, seductive, rogue, tech, villain, retire, technology, match, aid, fly, twenty, fire, provide, dangerous"
"option, captor, slavery, jenny, miller, name, eternal, christopher, cycle, compel, andrew, joy, assist, hostage, purpose, spread, paul, succeed, third, pursue"
"analyze, bobby, sleepy, casino, loom, cloud, dirt, leaf, mickey, owe, crowd, regain, gamble, bride, joe, inner, debt, bed, richard, blue"
"zhang, sun, captor, nemesis, heroic, hitman, ignite, boxer, surprising, assume, explosive, presence, ruthless, assassin, pair, flee, trail, camp, underground, pregnant"
"charlie, jenny, joe, fight, latin, revenge, plan, respond, run, nemesis, chair, tiger, vigilante, prostitution, wheel, loyal, clan, code, worry, disappearance"
"bombay, vishal, reputation, crime, milk, crook, apprehend, petty, hook, swear, graduate, underworld, consequence, inspector, major, raise, sell, matter, person, fear"
"spin, knight, web, dark, harley, film, batman, series, storyline, trilogy, edit, icon, smith, villain, similar, green, internet, fan, cast, direct"
"red, construction, steal, american, ira, grind, developer, wire, burden, gene, lifelong, dilemma, greedy, bruce, deceit, relentless, desperation, moral, charlie, feed"
"austria, bond, james, london, send, ruben, switzerland, vatican, venice, discover, industrialist, shooting, solace, australian, employ, intelligence, angry, european, accidentally, wall"
"smith, dealer, drug, crooked, felix, entangle, hitman, harris, basketball, frustrate, goon, trio, ruthless, frank, mistake, player, private, cop, service, hero"
"conference, president, terrorist, arm, black, company, press, martial, military, cover, eye, art, plan, thompson, steven, weaponry, belt, collins, equipment, vice"
"diva, team, title, wwe, damien, naomi, cody, tag, impressive, primarily, pre, intellectual, royal, winner, eve, rank, reign, newly, emerge, fly"
"ranjit, sultan, dad, loan, singh, thakur, bandit, leave, farmer, force, confront, result, dada, flourish, passing, renegade, undertake, ancestor, crop, wed"
"lady, trouble, criminal, irina, eden, abandoned, gallery, coffee, valuable, heroine, painting, garden, abroad, paint, bomb, stone, report, factory, forest, lock"
"clan, player, game, lee, mike, family, robert, truth, whiz, sally, jin, worthy, destructive, household, limit, depict, disappearance, pursuit, adopt, computer"
"combat, concept, martial, handle, expert, focus, video, situation, art, advanced, unlike, display, nor, knowledge, particular, southern, movement, california, extraordinary, skill"
